,deputy_name,deputy_state,political_party,refund_description,company_name,company_id,refund_date,refund_value,party_pg,party_en,party_tse,party_regdate,party_nmembers,party_ideology1,party_ideology2,party_ideology3,party_ideology4,party_position
297887,MARIA DO ROSÁRIO,RS,PT,GROUND TRANSPORTATION TICKET,VEPPO E CIA LTDA,92660760000100.0,2016-07-28T00:00:00,84.25,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
320777,ULDURICO JUNIOR,BA,PV,FUEL COSTS,AUTO POSTO AGUIA DE OURO,692806000198.0,2016-04-06T00:00:00,150.0,Partido Verde,Green Party ,43.0,30-09-93,374606.0,Green politics,Progressivism,Syncretic politics,,Centreleft
292827,LEONARDO MONTEIRO,MG,PT,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-06-13T00:00:00,967.72,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
170359,KEIKO OTA,SP,PSB,"TAXI, PARKING AND TOLL COSTS",CONCESS. RODOVIAS DO TIETE S/A,10678505000200.0,2016-08-21T00:00:00,6.2,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
319707,LUIS TIBÉ,MG,PTdoB,FUEL COSTS,POSTO MARTE LTDA.,3638042000140.0,2016-06-02T00:00:00,90.0,Partido Trabalhista do Brasil,Labour Party of Brazil,70.0,11-10-94,184816.0,Centrism, Populism, Labour movement, Nationalism,Centre
130050,DELEGADO EDSON MOREIRA,MG,PR,"TAXI, PARKING AND TOLL COSTS",AUTO PISTA FERNÃO DIAS,9326342000170.0,2016-10-07T00:00:00,1.8,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
242522,VITOR LIPPI,SP,PSDB,MEAL COSTS,COMERCIAL FRANGO ASSADO,72908353004000.0,2016-08-05T00:00:00,35.1,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
197436,FÁBIO FARIA,RN,PSD,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-03-11T00:00:00,-1.19,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
319306,LUIS TIBÉ,MG,PTdoB,PHONE COSTS,CELULAR FUNCIONAL,,2016-09-13T00:00:00,2.73,Partido Trabalhista do Brasil,Labour Party of Brazil,70.0,11-10-94,184816.0,Centrism, Populism, Labour movement, Nationalism,Centre
38936,ERIVELTON SANTANA,BA,PEN,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-09-23T00:00:00,610.76,Partido Ecológico Nacional,National Ecologic Party,51.0,19-06-12,68687.0,Green conservatism, Humanism,,,Centreright
147738,MARCELO ÁLVARO ANTÔNIO,MG,PR,MEAL COSTS,RESTAURANTE DAS MINAS LTDA,4277081000120.0,2016-11-17T00:00:00,35.86,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
121078,MARCOS ABRÃO,GO,PPS,PHONE COSTS,TELEFÔNICA BRASIL S.A.,2558157000160.0,2016-03-01T00:00:00,696.73,Partido Popular Socialista,Socialist People's Party ,23.0,19-03-92,479886.0,Social democracy,Social liberalism,,,Centreleft
74173,LUCIO MOSQUINI,RO,PMDB,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-03-02T00:00:00,786.83,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
10677,RODRIGO MAIA,RJ,DEM,FUEL COSTS,JP DE CARVALHO DER DE PETROLEO LTDA,10858049000100.0,2016-10-05T00:00:00,50.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
665,JOSÉ CARLOS ALELUIA,BA,DEM,FUEL COSTS,POSTO NOVO BAIRRO S/A,13706262000100.0,2016-08-09T00:00:00,50.0,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
249636,ALFREDO KAEFER,PR,PSL,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-04-07T00:00:00,1771.29,Partido Social Liberal,Social Liberal Party ,17.0,02-06-98,224040.0,Social liberalism,Libertarianism,,,Centreright
56368,ROGÉRIO PENINHA MENDONÇA,SC,PMDB,MEAL COSTS,CONFEITARIA OURO PRETO LTDA,23768790000200.0,2016-07-01T00:00:00,41.88,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
92102,RICARDO BARROS,PR,PP,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-02-25T00:00:00,-241.73,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
299603,ADELMO CARNEIRO LEÃO,MG,PT,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL,,2016-02-03T13:50:48.243,31.93,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
151176,ALFREDO NASCIMENTO,AM,PR,FLIGHT TICKET,LATAM AIRLINES,2012862000160.0,2016-08-02T00:00:00,1812.1,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
106417,PAULO MALUF,SP,PP,OFFICE MAINTENANCE,AMORETTO CAFES EXPRESSO LTDA,8532429000130.0,2016-06-01T00:00:00,280.0,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
43060,DIEGO GARCIA,PR,PHS,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-10-18T00:00:00,859.69,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
93476,BETO SALAME,PA,PP,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-09-04T00:00:00,-192.66,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
171240,LUIZ LAURO FILHO,SP,PSB,OFFICE MAINTENANCE,CLARO S/A,40432544000100.0,2016-04-07T00:00:00,144.9,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
25101,DAMIÃO FELICIANO,PB,PDT,MAIL COSTS,CORREIOS - ENCOMENDA PAC COM AR,,2016-09-01T16:14:04.113,351.1,Partido Democrático Trabalhista,Democratic Labour Party,12.0,10-11-81,1248632.0,Democratic socialism,Populism,Labour movement,,Centreleft
319103,CABO DACIOLO,RJ,PTdoB,PHONE COSTS,RAMAL,,,84.62,Partido Trabalhista do Brasil,Labour Party of Brazil,70.0,11-10-94,184816.0,Centrism, Populism, Labour movement, Nationalism,Centre
324230,ANTONIO CARLOS MENDES THAME,SP,PV,PHONE COSTS,CLARO S/A,40432544000100.0,2016-08-24T00:00:00,18.18,Partido Verde,Green Party ,43.0,30-09-93,374606.0,Green politics,Progressivism,Syncretic politics,,Centreleft
15183,PROFESSORA DORINHA SEABRA REZENDE,TO,DEM,PHONE COSTS,OI S.A.,76535764000100.0,2016-09-26T00:00:00,178.6,Democratas,Democrats,25.0,11-09-86,1095712.0,Economic liberalism,Liberal conservatism,Christian democracy,,Rightwing
253221,IVAN VALENTE,SP,PSOL,FUEL COSTS,AUTO POSTO KM 141 LTDA,1272374000130.0,2016-08-17T00:00:00,100.0,Partido Socialismo e Liberdade,Socialism and Liberty Party,50.0,15-09-05,120979.0,Democratic socialism, Anticapitalism,,,Leftwing
218817,CARLOS SAMPAIO,SP,PSDB,FLIGHT TICKET,Cia Aérea - AZUL,9296295000160.0,2016-05-22T00:00:00,1300.54,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
261209,LEO DE BRITO,AC,PT,HOTEL COSTS,Pousada Tobias - Elvira Maria Fonseca Lima - ME,18511216000200.0,2016-04-30T00:00:00,170.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
107170,CACÁ LEÃO,BA,PP,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-08-08T00:00:00,-1.95,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
87284,CÍCERO ALMEIDA,AL,PMDB,FUEL COSTS,cia brasileira de distribuiçao,47508411126300.0,2016-03-06T00:00:00,100.0,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
141279,MIGUEL LOMBARDI,SP,PR,FUEL COSTS,AUTO POSTO REI DA CASTELO 3 LTDA,58897638000200.0,2016-09-14T00:00:00,168.55,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
238861,CAIO NARCIO,MG,PSDB,PHONE COSTS,ALGAR CELULAR S/A,5835916000180.0,2016-03-21T00:00:00,122.14,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
323574,EVAIR VIEIRA DE MELO,ES,PV,"TAXI, PARKING AND TOLL COSTS",CONCESSIONÁRIA DE RODOVIAS S/A,15484093000100.0,2016-09-23T00:00:00,4.0,Partido Verde,Green Party ,43.0,30-09-93,374606.0,Green politics,Progressivism,Syncretic politics,,Centreleft
323098,ULDURICO JUNIOR,BA,PV,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-09-05T00:00:00,1115.69,Partido Verde,Green Party ,43.0,30-09-93,374606.0,Green politics,Progressivism,Syncretic politics,,Centreleft
29312,CARLOS EDUARDO CADOCA,PE,PDT,FUEL COSTS,POSTO GARANTIA LTDA,72578438000200.0,2016-05-08T00:00:00,30.0,Partido Democrático Trabalhista,Democratic Labour Party,12.0,10-11-81,1248632.0,Democratic socialism,Populism,Labour movement,,Centreleft
85617,PEDRO CHAVES,GO,PMDB,FUEL COSTS,AUTO POSTO RADIAL,36837334000200.0,2016-06-20T00:00:00,182.0,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
86544,JÉSSICA SALES,AC,PMDB,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL,,2016-02-16T16:57:44.827,33.88,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
334492,MAJOR OLIMPIO,SP,SD,FUEL COSTS,AUTO SHOPPING DERIVADOS DE PETROLEO LTDA,37063328001100.0,2016-01-18T00:00:00,118.96,Solidariedade,Solidarity ,77.0,24-09-13,161914.0,Labour movement,Humanist Movement,,,Centre
131056,CABO SABINO,CE,PR,PHONE COSTS,CELULAR FUNCIONAL,,2016-09-06T00:00:00,43.34,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
216585,BETINHO GOMES,PE,PSDB,"TAXI, PARKING AND TOLL COSTS",BBF ESTACIONAMENTO ROTATIVO LTDA,7735635000190.0,2016-08-26T00:00:00,6.9,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
233584,ROCHA,AC,PSDB,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL,,2016-04-13T16:19:09.217,53.69,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
147960,WELLINGTON ROBERTO,PB,PR,MEAL COSTS,POTENCIA GRILL,10741924000100.0,2016-01-30T00:00:00,63.0,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
213912,EDMAR ARRUDA,PR,PSD,FUEL COSTS,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,306597009153.0,2016-10-21T00:00:00,145.85,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
123355,ARNALDO JORDY,PA,PPS,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-05-11T00:00:00,1084.63,Partido Popular Socialista,Socialist People's Party ,23.0,19-03-92,479886.0,Social democracy,Social liberalism,,,Centreleft
89089,NELSON MEURER,PR,PP,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-06-29T00:00:00,-26.0,Partido Progressista,Progressive Party,11.0,16-11-95,1436720.0,Liberal conservatism,Populism,,,Centreright
193261,MARCONDES GADELHA,PB,PSC,FUEL COSTS,BR PETROBRÁS,306597002574.0,2016-02-11T00:00:00,100.0,Partido Social Cristão,Social Christian Party ,20.0,29-03-90,417221.0,Conservatism,,,,Rightwing
245595,VITOR LIPPI,SP,PSDB,OFFICE MAINTENANCE,LINKS TECHNOLOGY INFORMÁTICA LTDA,5826686000200.0,2016-02-10T00:00:00,1950.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
41263,MARCELO ARO,MG,PHS,MAIL COSTS,CORREIOS - TELEGRAMA,,2016-02-16T16:59:48.893,12.35,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
41217,MARCELO ARO,MG,PHS,MEAL COSTS,SENAC - An. IV - Restaurante 10º andar,33469172001600.0,2016-05-19T00:00:00,57.99,Partido Humanista da Soliedariedade,Humanist Party of Solidarity ,31.0,20-03-97,201673.0,Distributism,Humanism,Christian democracy,,Centre
131080,ANDERSON FERREIRA,PE,PR,PHONE COSTS,RAMAL,,,11.14,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
209986,GOULART,SP,PSD,"TAXI, PARKING AND TOLL COSTS",GEO PARK ESTACIONAMENTO LTDA - EPP,4338815000310.0,2016-07-04T00:00:00,18.0,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
273564,BOHN GASS,RS,PT,GROUND TRANSPORTATION TICKET,Estação Rodoviária Santa Rosa Ltda.,95823878000100.0,2016-03-06T00:00:00,211.35,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
226605,JOÃO CASTELO,MA,PSDB,FUEL COSTS,L S Comercio e Serviços Ltda,12125791000600.0,2016-05-04T00:00:00,166.68,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
176739,TENENTE LÚCIO,MG,PSB,OFFICE MAINTENANCE,WM PAPELARIA E ESCRITÓRIO,12132854000100.0,2016-05-30T00:00:00,543.2,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
56865,VALDIR COLATTO,SC,PMDB,FLIGHT TICKET,Cia Aérea - AVIANCA,2575829000150.0,2016-08-29T00:00:00,2002.79,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
255758,ANA PERUGINI,SP,PT,"TAXI, PARKING AND TOLL COSTS",RODOVIA SP075,3025305000150.0,2016-03-11T00:00:00,11.5,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
312223,RENATA ABREU,SP,PTN,FLIGHT TICKET,Cia Aérea - TAM,2012862000160.0,2016-07-18T00:00:00,510.44,Partido Trabalhista Nacional,National Labour Party ,19.0,02-10-97,158777.0,Labour movement,Populism,,,Centre
254927,ANDRES SANCHEZ,SP,PT,OFFICE MAINTENANCE,PHT COM SERV MAQ CAFE LTDA,7288003000110.0,2016-07-01T00:00:00,880.0,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
264772,JOSÉ MENTOR,SP,PT,OFFICE MAINTENANCE,CLARO S/A,40432544000100.0,2016-03-04T00:00:00,445.63,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
178612,CÉSAR MESSIAS,AC,PSB,FUEL COSTS,Posto Village LTDA.,6906483000170.0,2016-03-07T00:00:00,5215.5,Partido Socialista Brasileiro,Brazilian Socialist Party,40.0,01-07-88,644663.0,Social democracy,Democratic socialism,,,Centreleft
206501,EVANDRO ROMAN,PR,PSD,PHONE COSTS,CELULAR FUNCIONAL,,2016-10-13T00:00:00,196.33,Partido Social Democrático,Social Democratic Party,55.0,27-09-11,311706.0,Centrism,Big tent politics,Syncretic politics,Economic liberalism,Centre/Centreright
256109,ANGELIM,AC,PT,MAIL COSTS,CORREIOS - SEDEX CONVENCIONAL COM AR,,2016-11-03T16:55:41.140,53.24,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
127208,MAURÍCIO QUINTELLA LESSA,AL,PR,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-04-29T00:00:00,332.58,Partido da República,Party of the Republic,22.0,19-12-06,796764.0,Nationalism,Liberal conservatism,,,Centreright
227295,GEOVANIA DE SÁ,SC,PSDB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-07-13T00:00:00,265.0,Partido da Social Democracia Brasileira,Brazilian Social Democracy Party,45.0,24-08-88,1443769.0,Social democracy,Social liberalism,Parliamentary system,Parliamentarism,Centreleft
54147,JARBAS VASCONCELOS,PE,PMDB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-03-03T00:00:00,-447.63,Partido do Movimento Democrático Brasileiro,Brazilian Democratic Movement Party ,15.0,30-06-81,2398324.0,Centrism,Populism,Big tent politics,Syncretic politics,Centre
299743,GABRIEL GUIMARÃES,MG,PT,OFFICE MAINTENANCE,NEWS SERVICE SOLUÇÕES EM TI,5306315000270.0,2016-11-16T00:00:00,374.5,Partido dos Trabalhadores,Workers' Party ,13.0,11-02-82,1589260.0,Democratic socialism,,,,Centreleft
324601,ANTONIO CARLOS MENDES THAME,SP,PV,FUEL COSTS,AUTO POSTO REDENÇÃO LTDA.,47619283000100.0,2016-06-11T00:00:00,50.0,Partido Verde,Green Party ,43.0,30-09-93,374606.0,Green politics,Progressivism,Syncretic politics,,Centreleft
302753,JORGE CÔRTE REAL,PE,PTB,FLIGHT TICKET,Cia Aérea - GOL,7575651000160.0,2016-06-30T00:00:00,-573.63,Partido Trabalhista Brasileiro,Brazilian Labour Party ,14.0,03-11-81,1191746.0,Centrism,Populism,Federalism,Nationalism,Centre
319783,CABO DACIOLO,RJ,PTdoB,FUEL COSTS,Cascol Combustíveis para Veículos Ltda.,306597002906.0,2016-03-05T00:00:00,99.99,Partido Trabalhista do Brasil,Labour Party of Brazil,70.0,11-10-94,184816.0,Centrism, Populism, Labour movement, Nationalism,Centre
